Run,AGE,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,tissue,AssemblyName
SRR13209594,not applicable,Targeted-Capture,170,2137773696,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,331594850,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"sra,bam,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9642720,NextSeq 500,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ROC2_ST10_25ng_LIB4,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-07T16:39:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCF_000001405.29
SRR13209605,not applicable,Targeted-Capture,172,2586223776,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,412423420,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"run.zq,bam,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX9642709,NextSeq 500,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ROC2_ST10_25ng_LIB3,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-07T16:43:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCF_000001405.29
SRR13209610,not applicable,Targeted-Capture,171,2433771552,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,367642671,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"sra,bam,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX9642704,NextSeq 500,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ROC2_ST21_25ng_LIB4,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-07T16:41:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCF_000001405.29
SRR13209611,not applicable,Targeted-Capture,172,2555536416,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,393702097,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"sra,bam,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX9642703,NextSeq 500,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ROC2_ST21_25ng_LIB3,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-07T16:42:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCF_000001405.29
SRR13209612,not applicable,Targeted-Capture,172,2438349408,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,378360014,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"bam,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX9642702,NextSeq 500,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ROC2_ST21_25ng_LIB2,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-07T16:42:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCF_000001405.29
SRR13209613,not applicable,Targeted-Capture,172,2531769504,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,393477036,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"sra,bam,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX9642701,NextSeq 500,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ROC2_ST21_25ng_LIB1,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-07T16:48:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCF_000001405.29
SRR13209616,not applicable,Targeted-Capture,170,2371100544,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,369438409,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"bam,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX9642698,NextSeq 500,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ROC2_ST10_25ng_LIB2,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-07T16:46:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCF_000001405.29
SRR13209627,not applicable,Targeted-Capture,169,2177879136,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,339480626,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"bam,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9642687,NextSeq 500,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ROC2_ST10_25ng_LIB1,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-07T16:45:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCF_000001405.29
SRR13209636,not applicable,Targeted-Capture,172,2598577824,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,430796519,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"sra,run.zq,bam","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX9642678,NextSeq 500,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ROC2_ST20_25ng_LIB4,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-07T16:50:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCF_000001405.29
SRR13209637,not applicable,Targeted-Capture,173,2738053440,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,462334418,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"bam,sra,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9642677,NextSeq 500,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_ROC2_ST20_25ng_LIB3,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-07T16:49:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCF_000001405.29
