Run,age,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,tissue,AssemblyName
SRR13209590,not applicable,Targeted-Capture,164,1386610272,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786375,Human,198666721,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"bam,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX9642724,NextSeq 500,"4% Sample A + 96% Sample B\, enzymatically fragmented",SampleEf_ROC2_ST10_10ng_LIB2,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-07T16:36:00Z,1,Sample_Ef_ctDNA,not applicable,SRP296025,not applicable,GCF_000001405.29
SRR13209591,not applicable,Targeted-Capture,165,1659280128,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786375,Human,240396540,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"run.zq,sra,bam","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9642723,NextSeq 500,"4% Sample A + 96% Sample B\, enzymatically fragmented",SampleEf_ROC2_ST10_10ng_LIB1,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-07T16:36:00Z,1,Sample_Ef_ctDNA,not applicable,SRP296025,not applicable,GCF_000001405.29
SRR13209601,not applicable,Targeted-Capture,170,2280351552,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786375,Human,361515317,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"run.zq,bam,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX9642713,NextSeq 500,"4% Sample A + 96% Sample B\, enzymatically fragmented",SampleEf_ROC2_ST21_25ng_LIB4,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-07T16:40:00Z,1,Sample_Ef_ctDNA,not applicable,SRP296025,not applicable,GCF_000001405.29
SRR13209602,not applicable,Targeted-Capture,173,2566303584,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786375,Human,399047421,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"sra,bam,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9642712,NextSeq 500,"4% Sample A + 96% Sample B\, enzymatically fragmented",SampleEf_ROC2_ST21_25ng_LIB3,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-07T16:39:00Z,1,Sample_Ef_ctDNA,not applicable,SRP296025,not applicable,GCF_000001405.29
SRR13209603,not applicable,Targeted-Capture,172,2510900352,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786375,Human,390906893,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"run.zq,sra,bam","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9642711,NextSeq 500,"4% Sample A + 96% Sample B\, enzymatically fragmented",SampleEf_ROC2_ST21_25ng_LIB2,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-07T16:38:00Z,1,Sample_Ef_ctDNA,not applicable,SRP296025,not applicable,GCF_000001405.29
SRR13209604,not applicable,Targeted-Capture,171,2548013472,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786375,Human,396735958,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"bam,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX9642710,NextSeq 500,"4% Sample A + 96% Sample B\, enzymatically fragmented",SampleEf_ROC2_ST21_25ng_LIB1,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-07T16:41:00Z,1,Sample_Ef_ctDNA,not applicable,SRP296025,not applicable,GCF_000001405.29
SRR13209606,not applicable,Targeted-Capture,164,1669657920,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786375,Human,261237885,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"run.zq,bam,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX9642708,NextSeq 500,"4% Sample A + 96% Sample B\, enzymatically fragmented",SampleEf_ROC2_ST21_10ng_LIB4,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-07T16:41:00Z,1,Sample_Ef_ctDNA,not applicable,SRP296025,not applicable,GCF_000001405.29
SRR13209607,not applicable,Targeted-Capture,165,1603646688,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786375,Human,241711540,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"run.zq,sra,bam","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX9642707,NextSeq 500,"4% Sample A + 96% Sample B\, enzymatically fragmented",SampleEf_ROC2_ST21_10ng_LIB3,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-07T16:38:00Z,1,Sample_Ef_ctDNA,not applicable,SRP296025,not applicable,GCF_000001405.29
SRR13209608,not applicable,Targeted-Capture,167,1819372704,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786375,Human,284805982,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"sra,run.zq,bam","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX9642706,NextSeq 500,"4% Sample A + 96% Sample B\, enzymatically fragmented",SampleEf_ROC2_ST21_10ng_LIB2,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-07T16:40:00Z,1,Sample_Ef_ctDNA,not applicable,SRP296025,not applicable,GCF_000001405.29
SRR13209609,not applicable,Targeted-Capture,163,1632650016,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786375,Human,247966020,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"run.zq,sra,bam","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX9642705,NextSeq 500,"4% Sample A + 96% Sample B\, enzymatically fragmented",SampleEf_ROC2_ST21_10ng_LIB1,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-07T16:54:00Z,1,Sample_Ef_ctDNA,not applicable,SRP296025,not applicable,GCF_000001405.29
